agentID, delayTime
MN2318,    43.47
MN1349,    44.10
MN2440,    46.81
MN2560,    43.09
MN0380,    43.24
MN1590,    42.90
MN1238,    44.07
MN0028,    43.20
MN0146,    44.10
MN2325,    41.94
MN2446,    45.61
MN2567,    45.27
MN0389,    44.30
MN1356,    42.38
MN2203,    46.56
MN2687,    43.90
MN1113,    44.14
MN1597,    45.07
MN1233,    45.29
MN0263,    44.50
MN1474,    45.10
MN0022,    42.16
MN1119,    46.23
MN2330,    44.48
MN2572,    46.34
MN2693,    46.38
MN0394,    43.06
MN0270,    45.86
MN1481,    41.63
MN0478,    43.93
MN1326,    41.97
MN1689,    44.27
MN2657,    43.60
MN2778,    44.29
MN0358,    45.99
MN1567,    47.23
MN2898,    43.93
MN0114,    44.32
MN2533,    43.69
MN0232,    45.15
MN1322,    42.09
MN1443,    43.40
MN1200,    42.80
MN2894,    41.72
MN2651,    46.37
MN2772,    44.86
MN0594,    46.48
MN2419,    44.99
MN2539,    45.31
MN0239,    43.94
MN1206,    41.55
MN1448,    44.28
MN0368,    44.06
MN1337,    46.57
MN1578,    46.71
MN2788,    44.82
MN0003,    43.26
MN2424,    42.25
MN1697,    45.19
MN2302,    43.53
MN0243,    45.53
MN0485,    43.69
MN1212,    46.26
MN1574,    43.75
MN2542,    44.78
MN2663,    47.01
MN1331,    43.96
MN1452,    40.73
MN0121,    45.41
MN0363,    43.17
MN2782,    43.28
MN2309,    44.96
MN0128,    46.07
MN2428,    47.90
MN0008,    42.97
MN1217,    45.36
MN2550,    48.06
MN0251,    42.88
MN1460,    43.08
MN2670,    44.11
MN0491,    46.55
MN1788,    43.89
MN2514,    42.78
MN2634,    43.43
MN2755,    44.59
MN0212,    44.73
MN0333,    46.75
MN0696,    43.71
MN1423,    47.43
MN2996,    42.93
MN0576,    46.77
MN2511,    42.03
MN1663,    41.76
MN1784,    48.53
MN0453,    42.46
MN2630,    43.82
MN1540,    44.31
MN2871,    48.25
MN2992,    46.82
MN0572,    42.58
MN0219,    44.69
MN1307,    45.26
MN0337,    45.20
MN1548,    46.29
MN0459,    42.88
MN2878,    44.93
MN1790,    44.82
MN0225,    45.70
MN1436,    43.72
MN1799,    44.18
MN2646,    41.01
MN2888,    44.66
MN0589,    41.97
MN1314,    44.89
MN2403,    43.33
MN0344,    46.67
MN0465,    44.82
MN1676,    44.19
MN1554,    44.99
MN2401,    44.73
MN2764,    45.42
MN1795,    43.15
MN2521,    44.15
MN2884,    43.32
MN0101,    44.79
