agentID, delayTime
MN1325,    20.20
MN1446,    24.18
MN1688,    19.92
MN0234,    17.77
MN0355,    21.03
MN0598,    19.59
MN1202,    20.06
MN1323,    20.92
MN1444,    19.79
MN0111,    18.53
MN0595,    22.49
MN1564,    21.03
MN0233,    20.29
MN0475,    21.94
MN1684,    21.01
MN0351,    20.93
MN0472,    20.76
MN0231,    19.49
MN1440,    22.32
MN1561,    21.48
MN1208,    20.18
MN1329,    18.22
MN0359,    17.55
MN1328,    20.08
MN1449,    19.60
MN0118,    19.21
MN1569,    24.14
MN0481,    19.80
MN1692,    19.13
MN0240,    19.63
MN0361,    18.14
MN0126,    18.85
MN0248,    19.69
MN1215,    23.85
MN0366,    19.59
MN1335,    20.80
MN1456,    16.71
MN1577,    18.36
MN1698,    19.38
MN0004,    21.73
MN0488,    25.16
MN1213,    19.93
MN1576,    18.53
MN0001,    18.05
MN0122,    23.11
MN1333,    21.24
MN1454,    22.71
MN1575,    16.91
MN1696,    22.66
MN0002,    22.72
MN0123,    16.12
MN0244,    19.04
MN0365,    18.38
MN0486,    20.45
MN0241,    18.32
MN0483,    18.66
MN1210,    18.29
MN1451,    17.78
MN1572,    21.52
MN0009,    26.13
MN0007,    21.18
MN1218,    18.59
MN1339,    20.30
MN1459,    20.34
MN0492,    20.12
MN1582,    24.33
MN0130,    21.13
MN0490,    18.09
MN0370,    24.45
MN0214,    22.22
MN0335,    18.45
MN0456,    22.64
MN1304,    22.83
MN1425,    21.89
MN0699,    23.11
MN1545,    22.29
MN1666,    14.85
MN0575,    21.23
MN0334,    22.17
MN0697,    21.57
MN0331,    23.61
MN0452,    23.20
MN1300,    17.69
MN1421,    20.55
MN1542,    23.48
MN0211,    24.21
MN0574,    24.51
MN0695,    20.10
MN1420,    18.02
MN1662,    23.41
MN0571,    19.66
MN0692,    17.79
MN0451,    19.00
MN0339,    20.24
MN1308,    25.01
MN1428,    22.73
MN1549,    23.07
MN0458,    18.06
MN0579,    21.23
MN1669,    18.77
MN0217,    21.63
MN0580,    17.51
MN0104,    18.12
MN0467,    20.74
MN1557,    20.06
MN0105,    19.28
MN0226,    23.51
MN0347,    21.74
MN1556,    19.96
MN1677,    22.14
MN0223,    18.06
MN1313,    18.89
MN0345,    19.97
MN0587,    21.79
MN1433,    16.73
MN0100,    21.77
MN0342,    18.34
MN1553,    19.08
MN1674,    18.33
MN0464,    23.15
MN0585,    19.53
MN1310,    18.73
MN1431,    21.36
MN1673,    19.64
MN1551,    18.19
MN0220,    21.13
MN0462,    20.65
MN1319,    22.01
MN0109,    16.34
MN0469,    18.43
MN1438,    21.80
MN1316,    20.17
MN1679,    22.84
MN0591,    19.35
MN1681,    21.13
MN0590,    20.49
MN0313,    18.92
MN0434,    19.48
MN0555,    20.53
MN1403,    21.23
MN1523,    18.77
MN0432,    16.38
MN0553,    20.46
MN0675,    15.69
MN1521,    21.39
MN1642,    21.40
MN0672,    24.40
MN0794,    17.36
MN0670,    21.94
MN0550,    16.90
MN1408,    20.30
MN0317,    19.68
MN0439,    23.07
MN1527,    19.46
MN1648,    19.33
MN0315,    19.79
MN0557,    19.59
MN0799,    22.74
MN1405,    18.17
MN1647,    19.74
MN0316,    20.86
MN0437,    21.25
MN0679,    22.43
MN1525,    18.71
MN0203,    20.61
MN0324,    21.77
MN0687,    19.37
MN1656,    19.84
MN0446,    21.18
MN0564,    20.98
MN1412,    20.37
MN0323,    21.59
MN1532,    23.59
MN1653,    17.11
MN0562,    21.59
MN0683,    23.10
MN0200,    20.42
MN0442,    20.89
MN0684,    21.32
MN1651,    21.73
MN0209,    21.63
MN0328,    21.12
MN1417,    19.29
MN1538,    26.08
MN1659,    22.72
MN0206,    21.34
MN0448,    19.53
MN1415,    19.60
MN1536,    21.01
MN0570,    22.89
MN0533,    19.91
MN0655,    20.05
MN1501,    20.75
MN1622,    21.49
MN0410,    19.45
MN0653,    21.62
MN0895,    24.29
