agentID, delayTime
MN1406,    76.26
MN1767,    72.75
MN2614,    70.93
MN0445,    70.85
MN1898,    73.35
MN2987,    71.23
MN1654,    77.40
MN0320,    76.76
MN1531,    74.56
MN1773,    69.22
MN2862,    78.63
MN1893,    78.92
MN0681,    70.08
MN2509,    79.46
MN0207,    70.01
MN1418,    78.75
MN2626,    81.54
MN0569,    77.25
MN2746,    70.29
MN0896,    76.47
MN1623,    76.01
MN2833,    69.60
MN0413,    74.13
MN0773,    69.94
MN1500,    74.18
MN1741,    71.94
MN1983,    78.42
MN1508,    73.56
MN2718,    73.50
MN2958,    75.88
MN1747,    70.67
MN1989,    76.28
MN0536,    67.61
MN1866,    67.26
MN0544,    71.58
MN1634,    76.72
MN1754,    80.19
MN2843,    82.43
MN0421,    76.74
MN0661,    81.37
MN0783,    72.75
MN1871,    72.34
MN2728,    79.64
MN2606,    76.01
MN1879,    75.83
MN1998,    80.27
MN2966,    67.78
MN1601,    72.39
MN1722,    78.39
MN0875,    73.88
MN1962,    76.82
MN2930,    74.57
MN0752,    73.96
MN1840,    76.59
MN2939,    75.55
MN0515,    81.38
MN1847,    73.49
MN2814,    73.59
MN0998,    79.86
MN0401,    79.48
MN0885,    80.56
MN1612,    75.68
MN1975,    63.95
MN2701,    74.48
MN0641,    75.68
MN0762,    74.26
MN1852,    67.54
MN1730,    75.54
MN1971,    71.48
MN2709,    72.87
MN0649,    71.90
MN2949,    73.87
MN1858,    73.53
MN2824,    74.82
MN0525,    75.10
MN1734,    69.04
