componentID, timeInSystem
root( delay_capacity = 2 ), 1.15
root( delay_capacity = 2 ), 2.22
root( delay_capacity = 2 ), 2.50
root( delay_capacity = 2 ), 0.90
root( delay_capacity = 2 ), 3.72
root( delay_capacity = 2 ), 0.58
root( delay_capacity = 2 ), 2.50
root( delay_capacity = 2 ), 1.99
root( delay_capacity = 2 ), 2.24
root( delay_capacity = 2 ), 2.02
root( delay_capacity = 2 ), 2.53
root( delay_capacity = 2 ), 1.68
root( delay_capacity = 2 ), 1.76
root( delay_capacity = 2 ), 0.75
root( delay_capacity = 2 ), 1.09
root( delay_capacity = 2 ), 3.55
root( delay_capacity = 2 ), 2.15
root( delay_capacity = 2 ), 2.80
root( delay_capacity = 2 ), 1.52
root( delay_capacity = 2 ), 2.34
root( delay_capacity = 2 ), 1.15
root( delay_capacity = 2 ), 0.99
root( delay_capacity = 2 ), 2.27
root( delay_capacity = 2 ), 2.32
root( delay_capacity = 2 ), 2.55
root( delay_capacity = 2 ), 3.09
root( delay_capacity = 2 ), 3.17
root( delay_capacity = 2 ), 2.59
root( delay_capacity = 2 ), 3.35
root( delay_capacity = 2 ), 3.94
root( delay_capacity = 2 ), 0.77
root( delay_capacity = 2 ), 3.49
root( delay_capacity = 2 ), 2.86
root( delay_capacity = 2 ), 1.18
root( delay_capacity = 2 ), 0.87
root( delay_capacity = 2 ), 4.78
root( delay_capacity = 2 ), 2.35
root( delay_capacity = 2 ), 1.00
root( delay_capacity = 2 ), 0.82
root( delay_capacity = 2 ), 0.85
root( delay_capacity = 2 ), 1.33
root( delay_capacity = 2 ), 1.58
root( delay_capacity = 2 ), 1.96
root( delay_capacity = 2 ), 3.13
root( delay_capacity = 2 ), 2.21
root( delay_capacity = 2 ), 0.78
root( delay_capacity = 2 ), 1.73
root( delay_capacity = 2 ), 2.19
root( delay_capacity = 2 ), 1.58
root( delay_capacity = 2 ), 2.25
root( delay_capacity = 2 ), 2.18
root( delay_capacity = 2 ), 0.77
root( delay_capacity = 2 ), 0.85
root( delay_capacity = 2 ), 0.94
root( delay_capacity = 2 ), 1.56
root( delay_capacity = 2 ), 0.72
root( delay_capacity = 2 ), 2.02
root( delay_capacity = 2 ), 1.99
root( delay_capacity = 2 ), 1.92
root( delay_capacity = 2 ), 3.06
root( delay_capacity = 2 ), 3.79
root( delay_capacity = 2 ), 1.19
root( delay_capacity = 2 ), 1.76
root( delay_capacity = 2 ), 1.36
root( delay_capacity = 2 ), 2.19
root( delay_capacity = 2 ), 1.65
root( delay_capacity = 2 ), 1.96
root( delay_capacity = 2 ), 0.83
root( delay_capacity = 2 ), 1.23
root( delay_capacity = 2 ), 0.70
root( delay_capacity = 2 ), 2.12
root( delay_capacity = 2 ), 1.23
root( delay_capacity = 2 ), 0.64
root( delay_capacity = 2 ), 1.23
root( delay_capacity = 2 ), 1.71
root( delay_capacity = 2 ), 2.53
root( delay_capacity = 2 ), 1.94
root( delay_capacity = 2 ), 1.13
root( delay_capacity = 2 ), 1.01
root( delay_capacity = 2 ), 1.97
root( delay_capacity = 2 ), 0.90
root( delay_capacity = 2 ), 1.02
root( delay_capacity = 2 ), 2.90
root( delay_capacity = 2 ), 1.76
root( delay_capacity = 2 ), 2.15
root( delay_capacity = 2 ), 2.81
root( delay_capacity = 2 ), 2.22
root( delay_capacity = 2 ), 2.02
root( delay_capacity = 2 ), 1.53
root( delay_capacity = 2 ), 2.54
root( delay_capacity = 2 ), 3.12
root( delay_capacity = 2 ), 2.64
root( delay_capacity = 2 ), 1.77
root( delay_capacity = 2 ), 2.47
root( delay_capacity = 2 ), 3.05
root( delay_capacity = 2 ), 0.86
root( delay_capacity = 2 ), 2.63
root( delay_capacity = 2 ), 3.04
root( delay_capacity = 2 ), 3.17
root( delay_capacity = 2 ), 3.74
root( delay_capacity = 2 ), 1.12
root( delay_capacity = 2 ), 2.42
root( delay_capacity = 2 ), 1.79
root( delay_capacity = 2 ), 2.33
root( delay_capacity = 2 ), 0.90
root( delay_capacity = 2 ), 1.63
root( delay_capacity = 2 ), 2.86
root( delay_capacity = 2 ), 3.71
root( delay_capacity = 2 ), 4.86
root( delay_capacity = 2 ), 3.99
root( delay_capacity = 2 ), 4.48
root( delay_capacity = 2 ), 4.67
root( delay_capacity = 2 ), 5.69
root( delay_capacity = 2 ), 0.73
root( delay_capacity = 2 ), 5.78
root( delay_capacity = 2 ), 2.02
root( delay_capacity = 2 ), 1.24
root( delay_capacity = 2 ), 0.97
root( delay_capacity = 2 ), 0.59
root( delay_capacity = 2 ), 2.44
root( delay_capacity = 2 ), 2.29
root( delay_capacity = 2 ), 0.72
root( delay_capacity = 2 ), 0.70
root( delay_capacity = 2 ), 1.22
root( delay_capacity = 2 ), 2.27
root( delay_capacity = 2 ), 2.76
root( delay_capacity = 2 ), 2.36
root( delay_capacity = 2 ), 0.99
root( delay_capacity = 2 ), 1.65
root( delay_capacity = 2 ), 2.03
root( delay_capacity = 2 ), 1.66
root( delay_capacity = 2 ), 1.28
root( delay_capacity = 2 ), 1.68
root( delay_capacity = 2 ), 0.73
root( delay_capacity = 2 ), 1.99
root( delay_capacity = 2 ), 2.10
root( delay_capacity = 2 ), 1.92
root( delay_capacity = 2 ), 2.49
root( delay_capacity = 2 ), 2.44
root( delay_capacity = 2 ), 0.68
root( delay_capacity = 2 ), 2.31
root( delay_capacity = 2 ), 2.65
root( delay_capacity = 2 ), 0.87
root( delay_capacity = 2 ), 1.48
root( delay_capacity = 2 ), 2.16
root( delay_capacity = 2 ), 1.28
root( delay_capacity = 2 ), 2.96
root( delay_capacity = 2 ), 1.84
root( delay_capacity = 2 ), 1.23
root( delay_capacity = 2 ), 3.59
root( delay_capacity = 2 ), 0.72
root( delay_capacity = 2 ), 0.62
root( delay_capacity = 2 ), 2.07
root( delay_capacity = 2 ), 1.69
root( delay_capacity = 2 ), 1.94
root( delay_capacity = 2 ), 2.99
root( delay_capacity = 2 ), 1.16
root( delay_capacity = 2 ), 1.20
root( delay_capacity = 2 ), 1.87
root( delay_capacity = 2 ), 2.36
root( delay_capacity = 2 ), 3.32
root( delay_capacity = 2 ), 2.87
root( delay_capacity = 2 ), 4.01
root( delay_capacity = 2 ), 2.11
root( delay_capacity = 2 ), 2.62
root( delay_capacity = 2 ), 2.46
root( delay_capacity = 2 ), 1.12
root( delay_capacity = 2 ), 1.06
root( delay_capacity = 2 ), 1.82
root( delay_capacity = 2 ), 0.78
root( delay_capacity = 2 ), 0.64
root( delay_capacity = 2 ), 2.06
root( delay_capacity = 2 ), 3.31
root( delay_capacity = 2 ), 1.74
root( delay_capacity = 2 ), 1.09
root( delay_capacity = 2 ), 2.20
root( delay_capacity = 2 ), 1.72
root( delay_capacity = 2 ), 0.76
root( delay_capacity = 2 ), 2.09
root( delay_capacity = 2 ), 1.07
root( delay_capacity = 2 ), 0.89
root( delay_capacity = 2 ), 1.06
root( delay_capacity = 2 ), 1.48
root( delay_capacity = 2 ), 1.97
root( delay_capacity = 2 ), 2.63
root( delay_capacity = 2 ), 2.85
root( delay_capacity = 2 ), 4.10
root( delay_capacity = 2 ), 2.64
root( delay_capacity = 2 ), 0.79
root( delay_capacity = 2 ), 0.79
root( delay_capacity = 2 ), 2.48
root( delay_capacity = 2 ), 2.35
root( delay_capacity = 2 ), 1.55
root( delay_capacity = 2 ), 1.16
root( delay_capacity = 2 ), 1.05
root( delay_capacity = 2 ), 2.41
root( delay_capacity = 2 ), 2.47
root( delay_capacity = 2 ), 2.37
root( delay_capacity = 2 ), 2.04
root( delay_capacity = 2 ), 1.28
root( delay_capacity = 2 ), 2.48
root( delay_capacity = 2 ), 2.27
root( delay_capacity = 2 ), 3.30
root( delay_capacity = 2 ), 1.81
root( delay_capacity = 2 ), 2.27
root( delay_capacity = 2 ), 1.78
root( delay_capacity = 2 ), 0.85
root( delay_capacity = 2 ), 1.85
root( delay_capacity = 2 ), 2.16
root( delay_capacity = 2 ), 1.90
root( delay_capacity = 2 ), 2.02
root( delay_capacity = 2 ), 1.84
root( delay_capacity = 2 ), 1.15
root( delay_capacity = 2 ), 1.96
root( delay_capacity = 2 ), 1.10
root( delay_capacity = 2 ), 2.09
root( delay_capacity = 2 ), 1.62
root( delay_capacity = 2 ), 2.64
root( delay_capacity = 2 ), 2.28
root( delay_capacity = 2 ), 0.86
root( delay_capacity = 2 ), 1.97
root( delay_capacity = 2 ), 1.17
